0,Every c2 is a c2.,"<c2>

                                                  rdfs:subClassOf <c2> ."
1,"Every c1 is something that op1 c2 or that op2 c3 or that op3 c4 or that op4 c5.
Everything that op1 c2 or that op2 c3 or that op3 c4 or that op4 c5 is a c1.","<c1> owl:equivalentClass [
                                                                      owl:unionOf ( [ rdf:type owl:Restriction ;
                                                                                   owl:onProperty <op1> ;
                                                                                   owl:hasValue <c2>
                                                                                 ]
                                                                                 [ rdf:type owl:Restriction ;
                                                                                   owl:onProperty <op2> ;
                                                                                   owl:hasValue <c3>
                                                                                 ]
                                                                                 [ rdf:type owl:Restriction ;
                                                                                   owl:onProperty <op3> ;
                                                                                   owl:hasValue <c4>
                                                                                 ]
                                                                                 [ rdf:type owl:Restriction ;
                                                                                   owl:onProperty <op4> ;
                                                                                   owl:hasValue <c5>
                                                                                 ]
                                                                               )
                                                                    ] ."
2,Every c1 op1 a c2.,"<c1> rdfs:subClassOf [ rdf:type owl:Restriction ;
                                                                     owl:onProperty <op1> ;
                                                                     owl:someValuesFrom <c2>
                                                                   ] ."
3,"Every c1 op1 a c2.
Everything that op1 a c2 is a c1.","<c1> owl:equivalentClass [ rdf:type owl:Restriction ;
                                                                      owl:onProperty <op1> ;
                                                                      owl:someValuesFrom <c2>
                                                                    ] ."
4,"Every c1 op1 a c2.
Everything that op1 a c2 is a c1.","<c1> owl:equivalentClass [ rdf:type owl:Restriction ;
                                                                      owl:onProperty <op1> ;
                                                                      owl:someValuesFrom <c2>
                                                                    ] ."
5,Every c1 dp1 dt1.,"<c1> rdfs:subClassOf [ rdf:type owl:Restriction ;
                                                                     owl:onProperty <dp1> ;
                                                                     owl:hasValue <dt1>
                                                                   ] ."
6,Every c1 op1 i1.,"<c1> rdfs:subClassOf [ rdf:type owl:Restriction ;
                                                                      owl:onProperty <op1> ;
                                                                      owl:hasValue <i1>
                                                                    ] ."
7,Every c1 op1 c2.,"<c1> rdfs:subClassOf [ rdf:type owl:Restriction ;
                                                                      owl:onProperty <op1> ;
                                                                      owl:hasValue <c2>
                                                                    ] ."
8,"Every c1 is something that op1 a c2 or that is something and that op2 a c3.
Everything that op1 a c2 or that is something and that op2 a c3 is a c1.","<c1> owl:equivalentClass [
                                                                       owl:unionOf ( [
                                                                                    owl:intersectionOf ( [
                                                                                                        owl:unionOf rdf:nil
                                                                                                      ]
                                                                                                      [ rdf:type owl:Restriction ;
                                                                                                        owl:onProperty <op2> ;
                                                                                                        owl:someValuesFrom <c3>
                                                                                                      ]
                                                                                                    )
                                                                                  ]
                                                                                  [
                                                                                    owl:intersectionOf ( [ rdf:type owl:Restriction ;
                                                                                                        owl:onProperty <op1> ;
                                                                                                        owl:someValuesFrom <c2>
                                                                                                      ]
                                                                                                    )
                                                                                  ]
                                                                                )
                                                                     ] ."
9,"Every c1 is a c2.
Every c2 is a c1.","<c2>

                                                    owl:equivalentClass <c1> ."
10,"Every c1 is something that op1 at least 999 c2 and that op2 at most 1 c3 and that op3 at most 1 c4 and that op4 at most 1 c5.
Everything that op1 at least 999 c2 and that op2 at most 1 c3 and that op3 at most 1 c4 and that op4 at most 1 c5 is a c1.","<c1> owl:equivalentClass [
                                                                       owl:intersectionOf ( [ rdf:type owl:Restriction ;
                                                                                           owl:onProperty <op1> ;
                                                                                           owl:onClass <c2> ;
                                                                                           owl:minQualifiedCardinality ""999""^^xsd:nonNegativeInteger
                                                                                         ]
                                                                                         [ rdf:type owl:Restriction ;
                                                                                           owl:onProperty <op2> ;
                                                                                           owl:onClass <c3> ;
                                                                                           owl:maxQualifiedCardinality ""1""^^xsd:nonNegativeInteger
                                                                                         ]
                                                                                         [ rdf:type owl:Restriction ;
                                                                                           owl:onProperty <op3> ;
                                                                                           owl:onClass <c4> ;
                                                                                           owl:maxQualifiedCardinality ""1""^^xsd:nonNegativeInteger
                                                                                         ]
                                                                                         [ rdf:type owl:Restriction ;
                                                                                           owl:onProperty <op4> ;
                                                                                           owl:onClass <c5> ;
                                                                                           owl:maxQualifiedCardinality ""1""^^xsd:nonNegativeInteger
                                                                                         ]
                                                                                       )
                                                                     ] ."
11,"Every c1 is something that op1 something and that op2 a c2.
Everything that op1 something and that op2 a c2 is a c1.","<c1> owl:equivalentClass [
                                                                       owl:intersectionOf ( [ rdf:type owl:Restriction ;
                                                                                           owl:onProperty <op1> ;
                                                                                           owl:someValuesFrom [
                                                                                                             owl:unionOf rdf:nil
                                                                                                           ]
                                                                                         ]
                                                                                         [ rdf:type owl:Restriction ;
                                                                                           owl:onProperty <op2> ;
                                                                                           owl:someValuesFrom <c2>
                                                                                         ]
                                                                                       )
                                                                     ] ."
12,"Every c1 is something that op1 a c2 or that is something and that op2 a c3.
Everything that op1 a c2 or that is something and that op2 a c3 is a c1.","<c1> owl:equivalentClass [
                                                                       owl:unionOf ( [ rdf:type owl:Restriction ;
                                                                                    owl:onProperty <op2> ;
                                                                                    owl:someValuesFrom <c3>
                                                                                  ]
                                                                                  [ rdf:type owl:Restriction ;
                                                                                    owl:onProperty <op1> ;
                                                                                    owl:someValuesFrom <c2>
                                                                                  ]
                                                                                )
                                                                     ] ."
13,"Everything that op1 a c1 and that does not op2 a c2 op3 a c3.
Everything that op3 a c3 is something that op1 a c1 and that does not op2 a c2.","[
  owl:equivalentClass [ rdf:type owl:Restriction ;
                     owl:onProperty <op3> ;
                     owl:someValuesFrom <c3>
                   ] ;
  owl:intersectionOf ( [
                      owl:complementOf [ rdf:type owl:Restriction ;
                                      owl:onProperty <op2> ;
                                      owl:someValuesFrom <c2>
                                    ]
                    ]
                    [ rdf:type owl:Restriction ;
                      owl:onProperty <op1> ;
                      owl:someValuesFrom <c1>
                    ]
                  )
] ."
